Major_cate,Label,Bleached_status,2022_T1,2022_T2,2022_T3,2023_T1,2023_T2,2023_T3
Hard_corals,Acropora_tenella_branching,Health,44,24,2,12,14,7
Hard_corals,Acropora_tenella_branching,Bleached,175,53,27,2,10,2
Hard_corals,Acropora_tenella_branching,Partly_Bleached,125,62,36,0,0,1
CCA,Crustose_coralline_algae,Dead_CCA,22,4,0,35,42,0
Bare_substrate,Stony_coral_skeleton,Dead_Endolithic_Algae,24,20,2,20,13,2
Sponges,Terpios,Dead_Sponge,0,0,0,3,58,0
Turf,Turf,Dead_Turf,0,0,0,118,160,21
Hard_corals,Anacropora_forbesi_branching,Health,2,2,0,49,174,202
Hard_corals,Anacropora_forbesi_branching,Bleached,0,1,0,0,0,1
Hard_corals,Anacropora_forbesi_branching,Partly_Bleached,0,1,0,2,4,1
Turf,Turf,Dead_Turf,0,0,0,8,2,1
Hard_corals,Anacropora_matthaii_pillai_branching,Health,0,5,0,64,10,0
Hard_corals,Anacropora_matthaii_pillai_branching,Partly_Bleached,0,0,0,5,0,1
Turf,Turf,Dead_Turf,0,0,0,6,2,0
Hard_corals,Astreopora_spp_massive,Health,0,0,0,0,2,0
Hard_corals,Cyphastrea_spp_massive,Health,1,0,4,0,0,0
Hard_corals,Cyphastrea_spp_massive,Bleached,0,2,0,0,0,0
Hard_corals,Favites_spp_ecrusting,Health,0,6,0,0,0,0
Hard_corals,Goniopora_spp_massive,Bleached,0,11,0,0,0,0
Hard_corals,Lobophyllia_hemprichii_massive,Health,0,22,0,0,0,0
Hard_corals,Lobophyllia_spp_encrusting,Health,0,60,0,0,0,0
Hard_corals,Montipora_spp_encrusting,Health,0,0,0,0,7,0
Hard_corals,Montipora_spp_massive,Partly_Bleached,0,4,0,0,0,0
Hard_corals,Pocillopora_spp_bushy,Health,0,25,12,0,1,0
Bare_substrate,Stony_coral_skeleton,Dead_Endolithic_Algae,0,6,0,0,0,0
Hard_corals,Stylophora_pistillata_branching,Health,0,3,2,0,1,2
Hard_corals,stony_coral_encrusting,Health,2,0,0,1,0,0
Soft_corals,Litophyton_spp_bushy,Health,0,0,7,0,0,0
Soft_corals,Litophyton_spp_bushy,Partly_Bleached,0,5,6,0,0,0
Soft_corals,Sarcophyton_spp_massive,Bleached,0,0,2,0,0,0
CCA,Crustose_coralline_algae,,129,125,119,38,30,26
Turf,Turf,,658,649,835,930,780,1024
Algae,Halimeda,,0,2,0,0,0,0
Algae,Padina,,0,0,4,2,0,0
CCA,Peyssonnelia,,2,1,1,0,1,0
Sponges,Arborescent_sponge,,1,1,0,0,0,0
Sponges,Branching_repent_sponge,,0,0,1,0,0,0
Sponges,Encrusting_sponge,,0,0,1,4,4,5
Sponges,Massive_sponge,,0,2,0,0,2,0
Other_live,Stephanoscyphus_racemosum,,0,1,0,0,0,0
Other_live,Crinoids,,60,118,28,2,4,3
Bare_substrate,Limestone_stable,,0,0,1,0,0,0
Bare_substrate,Rock_stable,,0,1,0,0,0,0
Bare_substrate,Rubble_unstable,,23,52,67,31,19,33
Bare_substrate,Sand,,76,76,187,12,4,12
